id_sale,id_videojuego,total_sales,na_sales,jp_sales,pal_sales,other_sales
54,54,0.2,0.09,0.07,0.0,0.04
55,55,11.03,0.76,7.99,1.51,0.77
56,56,1.13,0.37,0.26,0.06,0.44
57,57,15.16,7.03,3.97,3.06,1.1
58,58,13.07,7.84,0.38,3.63,1.22
59,59,6.54,2.76,1.89,1.43,0.46
60,60,6.23,1.56,1.18,1.75,1.74
61,61,8.65,3.09,1.06,1.37,3.13
62,62,14.11,7.26,5.84,0.93,0.08
63,63,7.79,3.55,1.61,0.24,2.39
64,64,13.41,1.37,3.77,6.32,1.95
65,65,14.33,7.74,0.32,2.81,3.46
66,66,18.54,4.66,0.48,7.68,5.72
67,67,9.81,4.53,1.81,2.55,0.92
68,68,2.06,1.4,0.04,0.6,0.02
69,69,3.74,2.15,0.25,0.08,1.26
70,70,14.26,6.67,1.89,3.93,1.77
71,71,2.09,0.97,0.37,0.38,0.37
72,72,19.27,6.12,5.89,3.1,4.16
73,73,1.77,1.01,0.01,0.25,0.5
74,74,18.03,7.39,1.17,7.24,2.23
75,75,4.29,1.82,0.46,1.77,0.24
76,76,6.84,1.11,2.1,1.88,1.75
77,77,4.7,0.54,1.46,1.15,1.55
78,78,17.02,5.12,7.9,3.74,0.26
79,79,4.24,2.09,0.52,0.82,0.81
80,80,7.93,3.06,2.45,0.41,2.01
81,81,5.84,4.22,0.32,0.63,0.67
82,82,9.42,5.59,1.65,0.93,1.25
83,83,2.17,1.41,0.0,0.12,0.64
84,84,11.61,8.99,1.08,0.55,0.99
85,85,0.89,0.6,0.23,0.06,0.0
86,86,17.4,9.78,1.35,0.66,5.61
87,87,0.29,0.11,0.1,0.06,0.02
88,88,15.49,4.26,0.11,7.93,3.19
89,89,2.95,0.28,0.48,0.97,1.22
90,90,12.84,3.65,0.63,4.98,3.58
91,91,3.07,1.91,0.04,0.03,1.09
92,92,16.37,5.75,7.5,2.78,0.34
93,93,0.6,0.16,0.32,0.06,0.06
94,94,9.91,7.29,0.5,1.84,0.28
95,95,7.71,3.85,3.01,0.08,0.77
96,96,0.21,0.07,0.05,0.03,0.06
97,97,17.65,5.55,0.82,7.7,3.58
98,98,2.68,0.5,0.09,1.49,0.6
99,99,9.55,1.38,3.92,2.46,1.79
100,100,14.01,6.09,2.16,5.17,0.59
101,101,18.61,14.82,3.15,0.32,0.32
102,102,11.07,0.95,3.1,1.44,5.58
103,103,17.8,8.3,0.31,4.06,5.13
104,104,12.57,3.36,2.58,3.97,2.66
105,105,18.48,4.48,3.66,7.7,2.64
106,106,15.38,5.43,7.16,2.49,0.3
107,107,3.33,2.18,0.19,0.02,0.94
108,108,17.37,10.63,3.38,0.21,3.15
109,109,14.89,1.68,6.8,0.36,6.05
110,110,16.28,8.59,4.26,2.06,1.37
111,111,18.45,8.89,1.39,8.12,0.05
112,112,7.46,3.49,1.6,0.33,2.04
113,113,2.29,0.95,0.12,0.37,0.85
114,114,0.53,0.07,0.05,0.08,0.33
115,115,17.92,15.12,1.03,1.4,0.37
116,116,13.8,8.12,0.57,0.01,5.1
117,117,19.03,9.12,5.7,3.68,0.53
118,118,7.51,3.58,1.22,1.17,1.54
119,119,11.91,4.27,0.11,5.88,1.65
120,120,11.51,3.27,4.24,1.45,2.55
121,121,4.45,2.22,1.02,0.95,0.26
122,122,19.65,4.09,2.09,6.56,6.91
123,123,1.23,0.67,0.27,0.21,0.08
124,124,8.86,5.3,1.4,1.83,0.33
125,125,5.96,1.06,1.93,1.84,1.13
126,126,6.94,2.4,2.1,2.27,0.17
127,127,10.58,3.4,5.16,0.79,1.23
128,128,17.95,5.79,2.77,0.09,9.3
129,129,0.96,0.21,0.31,0.34,0.1
130,130,16.47,4.82,1.48,5.7,4.47
131,131,13.16,3.68,1.62,7.27,0.59
132,132,15.14,3.88,0.87,8.58,1.81
133,133,18.99,7.39,3.02,5.62,2.96
134,134,8.17,1.94,0.33,4.42,1.48
135,135,14.86,1.72,1.42,9.14,2.58
136,136,0.39,0.22,0.07,0.06,0.04
137,137,19.43,12.44,1.49,3.06,2.44
138,138,3.47,1.43,0.63,0.05,1.36
139,139,5.54,4.31,1.01,0.13,0.09
140,140,8.09,4.91,0.42,2.36,0.4
141,141,2.59,0.58,0.59,0.38,1.04
142,142,17.96,5.45,0.24,2.1,10.17
143,143,16.64,10.19,5.69,0.35,0.41
144,144,10.09,3.51,2.46,1.81,2.31
145,145,3.76,1.58,0.17,0.24,1.77
146,146,4.55,3.67,0.83,0.01,0.04
147,147,15.66,9.89,4.89,0.3,0.58
148,148,1.92,0.63,1.01,0.22,0.06
149,149,4.18,1.11,2.3,0.44,0.33
150,150,18.45,11.41,4.8,0.46,1.78
151,151,9.75,3.16,0.03,2.09,4.47
152,152,16.63,4.94,8.78,0.36,2.55
153,153,17.15,11.14,2.47,1.31,2.23
154,154,5.73,1.67,2.82,0.24,1.0
155,155,3.7,0.98,1.68,0.24,0.8
156,156,18.74,6.57,0.36,11.54,0.27
157,157,12.02,10.89,0.57,0.21,0.35
158,158,15.61,11.78,1.15,0.8,1.88
159,159,17.04,10.67,4.93,0.4,1.04
160,160,18.93,8.88,1.06,5.62,3.37
161,161,15.75,6.24,5.72,0.5,3.29
162,162,6.43,3.05,0.85,1.44,1.09
163,163,16.74,9.53,4.18,1.7,1.33
164,164,4.68,2.63,0.12,1.75,0.18
165,165,12.42,6.98,0.6,1.9,2.94
166,166,10.3,4.1,0.22,1.05,4.93
167,167,19.89,5.14,9.47,3.3,1.98
168,168,15.17,2.86,0.37,5.99,5.95
169,169,9.88,1.31,0.38,2.28,5.91
170,170,6.48,2.14,1.65,0.39,2.3
171,171,18.02,13.44,0.85,3.57,0.16
172,172,18.32,9.74,4.53,3.68,0.37
173,173,8.78,3.83,1.65,2.36,0.94
174,174,16.42,3.74,6.07,1.06,5.55
175,175,4.78,0.53,0.96,0.54,2.75
176,176,15.01,4.81,5.05,4.25,0.9
177,177,14.66,6.71,1.47,5.2,1.28
178,178,6.28,4.36,0.03,1.2,0.69
179,179,7.79,5.48,0.31,0.18,1.82
180,180,1.43,0.45,0.02,0.66,0.3
181,181,3.14,1.41,1.28,0.22,0.23
182,182,13.15,3.1,0.46,8.85,0.74
183,183,17.98,5.78,4.3,2.63,5.27
184,184,6.21,1.3,1.94,1.59,1.38
185,185,18.92,8.31,5.48,3.45,1.68
186,186,2.22,0.64,0.61,0.91,0.06
187,187,7.99,1.71,4.71,0.07,1.5
188,188,1.26,0.1,0.55,0.1,0.51
189,189,6.41,2.03,1.31,0.53,2.54
190,190,19.09,14.37,1.13,3.39,0.2
191,191,18.85,4.63,4.77,3.96,5.49
192,192,3.2,1.53,0.66,0.22,0.79
193,193,11.98,1.41,1.26,0.04,9.27
194,194,17.66,13.93,0.99,1.99,0.75
195,195,9.45,0.94,3.54,4.91,0.06
196,196,1.71,0.71,0.01,0.98,0.01
197,197,6.84,2.69,2.86,0.54,0.75
198,198,6.37,1.59,0.26,3.77,0.75
199,199,13.54,6.28,1.69,0.13,5.44
200,200,13.2,6.98,3.67,0.13,2.42
201,201,0.45,0.22,0.17,0.0,0.06
202,202,10.96,6.36,0.73,3.59,0.28
203,203,3.04,2.89,0.07,0.05,0.03
204,204,6.22,3.46,0.8,0.58,1.38
205,205,14.97,3.28,1.79,6.11,3.79
206,206,4.41,1.96,1.52,0.15,0.78
207,207,6.32,1.25,0.07,3.27,1.73
208,208,15.21,8.06,1.12,4.23,1.8
209,209,3.39,1.92,0.69,0.33,0.45
210,210,16.02,4.17,1.32,0.16,10.37
211,211,1.52,0.5,0.53,0.1,0.39
212,212,6.12,2.45,2.37,0.82,0.48
213,213,14.4,2.32,0.41,9.6,2.07
214,214,10.56,1.67,3.2,1.39,4.3
215,215,3.59,0.82,1.44,0.28,1.05
216,216,12.82,3.31,7.18,1.8,0.53
217,217,17.39,9.96,3.35,2.98,1.1
218,218,1.34,0.45,0.27,0.18,0.44
219,219,9.17,4.05,2.17,0.64,2.31
220,220,3.55,2.51,0.45,0.28,0.31
221,221,7.47,2.57,3.34,0.17,1.39
222,222,9.02,2.45,4.67,0.19,1.71
223,223,0.8,0.55,0.14,0.11,0.0
224,224,4.4,0.81,0.69,0.02,2.88
225,225,8.7,4.16,2.72,0.85,0.97
226,226,1.07,0.3,0.36,0.26,0.15
227,227,3.33,0.3,2.42,0.29,0.32
228,228,3.97,1.15,1.4,0.09,1.33
229,229,15.28,1.3,8.85,3.54,1.59
230,230,9.27,2.04,1.18,5.64,0.41
231,231,16.38,12.04,0.21,2.68,1.45
232,232,18.74,2.22,2.34,3.84,10.34
233,233,18.94,12.84,0.27,5.54,0.29
234,234,4.24,3.13,0.1,0.29,0.72
235,235,15.17,9.97,0.75,0.26,4.19
236,236,16.78,1.92,0.2,7.48,7.18
237,237,6.68,1.05,1.1,0.26,4.27
238,238,10.04,1.13,5.15,0.1,3.66
239,239,2.11,0.97,0.73,0.04,0.37
240,240,18.66,2.96,7.65,0.62,7.43
241,241,4.02,2.68,0.41,0.04,0.89
242,242,2.61,0.87,0.35,1.22,0.17
243,243,13.23,3.48,4.44,0.05,5.26
244,244,16.36,10.2,1.28,1.76,3.12
245,245,19.24,5.78,0.22,7.86,5.38
246,246,15.63,1.07,7.73,0.75,6.08
247,247,14.95,5.6,0.05,0.33,8.97
248,248,14.66,5.67,0.67,5.82,2.5
249,249,13.67,6.06,0.55,6.95,0.11
250,250,18.18,11.82,3.43,2.32,0.61
251,251,4.72,2.62,0.27,1.51,0.32
252,252,14.1,9.7,2.03,0.3,2.07
253,253,9.32,4.48,0.45,1.87,2.52
254,254,19.08,11.47,0.32,2.6,4.69
255,255,19.9,8.25,0.98,0.21,10.46
256,256,9.02,4.75,3.91,0.06,0.3
257,257,11.22,4.5,1.63,0.4,4.69
258,258,11.26,1.65,0.16,1.57,7.88
259,259,11.52,5.38,2.8,1.33,2.01
260,260,4.04,1.58,1.71,0.45,0.3
261,261,12.73,3.62,0.07,0.55,8.49
262,262,2.51,0.33,0.05,1.48,0.65
263,263,12.51,0.52,4.02,7.23,0.74
264,264,9.4,1.83,0.74,2.87,3.96
265,265,12.39,6.05,0.99,2.8,2.55
266,266,16.81,4.69,3.87,2.52,5.73
267,267,17.44,10.91,3.27,0.27,2.99
268,268,0.13,0.03,0.03,0.02,0.05
269,269,2.99,0.54,0.45,1.44,0.56
270,270,3.61,2.03,0.24,0.68,0.66
271,271,8.36,3.42,0.4,3.02,1.52
272,272,2.25,1.82,0.04,0.13,0.26
273,273,17.73,2.26,6.27,7.54,1.66
274,274,7.47,1.73,3.39,1.04,1.31
275,275,1.92,1.24,0.32,0.07,0.29
276,276,15.91,4.21,7.34,2.96,1.4
277,277,12.28,6.28,2.17,3.6,0.23
278,278,19.53,2.51,0.78,7.07,9.17
279,279,1.48,0.28,0.02,0.7,0.48
280,280,17.27,3.04,0.07,2.65,11.51
281,281,16.41,9.63,1.73,0.2,4.85
282,282,15.29,8.08,0.66,2.92,3.63
283,283,13.75,10.26,0.97,1.06,1.46
284,284,8.83,3.37,1.19,2.09,2.18
285,285,4.1,1.08,1.92,0.65,0.45
286,286,10.74,3.97,1.26,4.58,0.93
287,287,6.22,1.09,0.49,3.75,0.89
288,288,2.15,0.88,0.2,0.58,0.49
289,289,17.3,10.8,2.23,1.74,2.53
290,290,8.82,5.07,2.51,0.59,0.65
291,291,19.13,3.85,6.49,3.0,5.79
292,292,13.88,6.8,2.61,4.38,0.09
293,293,11.79,3.54,2.77,4.38,1.1
294,294,11.37,6.67,0.44,3.86,0.4
295,295,3.55,1.44,1.19,0.51,0.41
296,296,1.01,0.79,0.05,0.13,0.04
297,297,9.17,2.65,4.8,1.05,0.67
298,298,5.98,2.49,0.0,0.7,2.79
299,299,18.32,3.31,2.05,11.58,1.38
300,300,11.76,7.3,3.75,0.43,0.28
301,301,2.33,0.55,0.02,1.27,0.49
302,302,15.44,3.83,9.59,0.62,1.4
303,303,14.12,9.83,2.06,0.37,1.86
304,304,15.56,9.03,3.01,3.06,0.46
305,305,7.7,5.88,0.88,0.87,0.07
306,306,16.93,12.1,2.63,1.12,1.08
307,307,8.53,6.73,0.57,0.93,0.3
308,308,7.33,1.07,4.47,1.06,0.73
309,309,13.46,6.12,5.96,1.0,0.38
310,310,11.44,2.25,1.77,1.57,5.85
311,311,3.2,0.05,0.3,0.53,2.32
312,312,13.11,4.94,0.39,5.47,2.31
313,313,7.81,3.96,0.88,2.69,0.28
314,314,14.69,6.93,0.9,3.48,3.38
315,315,19.84,6.62,1.68,11.29,0.25
316,316,15.02,9.87,1.89,1.92,1.34
317,317,19.49,0.92,0.27,18.05,0.25
318,318,3.76,1.36,0.2,0.07,2.13
319,319,11.91,10.08,0.22,0.14,1.47
320,320,1.8,1.31,0.1,0.21,0.18
321,321,12.61,4.94,3.47,2.18,2.02
322,322,18.72,3.94,1.84,10.72,2.22
323,323,0.69,0.09,0.3,0.13,0.17
324,324,2.26,1.13,0.25,0.17,0.71
325,325,19.77,10.67,1.68,1.01,6.41
326,326,4.28,0.81,1.25,0.43,1.79
327,327,6.56,2.47,1.78,0.94,1.37
328,328,2.05,0.71,0.02,0.5,0.82
329,329,10.56,5.9,2.2,2.14,0.32
330,330,18.25,9.76,0.94,1.78,5.77
331,331,10.36,1.94,2.22,3.46,2.74
332,332,12.84,7.34,1.37,1.74,2.39
333,333,15.76,1.7,5.45,7.43,1.18
334,334,15.58,2.85,4.95,5.21,2.57
335,335,18.12,3.37,4.58,5.49,4.68
336,336,7.35,3.36,0.03,0.79,3.17
337,337,6.5,1.42,1.75,2.31,1.02
338,338,17.28,13.16,0.67,2.88,0.57
339,339,4.66,1.57,0.28,1.75,1.06
340,340,17.69,4.24,8.05,0.15,5.25
341,341,16.73,6.75,5.32,3.51,1.15
342,342,11.32,7.71,2.02,1.22,0.37
343,343,2.03,0.92,0.13,0.25,0.73
344,344,7.84,2.85,2.33,2.4,0.26
345,345,13.55,3.18,2.32,2.93,5.12
346,346,4.34,3.25,0.14,0.93,0.02
347,347,7.83,2.11,2.36,1.4,1.96
348,348,17.55,0.64,8.86,2.54,5.51
349,349,1.52,0.42,0.09,0.52,0.49
350,350,8.67,0.46,0.83,4.07,3.31
351,351,0.37,0.23,0.07,0.02,0.05
352,352,10.71,2.83,0.39,0.48,7.01
353,353,19.13,5.51,0.46,3.01,10.15
354,354,3.37,2.29,0.22,0.72,0.14
355,355,4.11,1.52,0.32,1.23,1.04
356,356,10.48,5.53,2.16,0.46,2.33
357,357,16.67,9.65,1.39,1.68,3.95
358,358,10.67,3.36,1.62,2.65,3.04
359,359,3.21,1.49,0.04,1.3,0.38
360,360,2.4,1.56,0.25,0.16,0.43
361,361,5.51,4.41,0.0,0.11,0.99
362,362,11.4,2.08,1.17,4.88,3.27
363,363,13.62,2.85,4.48,0.17,6.12
364,364,12.67,4.46,2.06,2.33,3.82
365,365,1.36,0.34,0.47,0.19,0.36
366,366,9.32,5.3,0.55,2.96,0.51
367,367,9.71,5.27,2.02,0.63,1.79
368,368,3.35,0.73,0.05,0.61,1.96
369,369,19.78,16.54,1.05,0.03,2.16
370,370,3.09,1.5,0.31,0.07,1.21
371,371,11.76,3.89,1.85,2.91,3.11
372,372,13.06,5.52,2.05,3.42,2.07
373,373,0.92,0.52,0.2,0.14,0.06
374,374,8.06,1.62,0.59,2.76,3.09
375,375,19.75,14.35,1.59,2.42,1.39
376,376,4.04,1.43,0.92,1.5,0.19
377,377,19.06,11.14,3.34,4.39,0.19
378,378,14.67,4.25,0.14,0.01,10.27
379,379,1.56,1.02,0.44,0.02,0.08
380,380,12.13,2.32,3.1,4.67,2.04
381,381,2.85,1.96,0.09,0.09,0.71
382,382,1.26,0.25,0.0,0.05,0.96
383,383,2.49,0.47,1.3,0.0,0.72
384,384,2.48,0.49,0.51,0.56,0.92
385,385,5.68,1.11,1.73,2.05,0.79
386,386,2.66,1.08,0.45,0.47,0.66
387,387,10.79,2.96,2.43,2.65,2.75
388,388,11.13,2.88,3.25,4.31,0.69
389,389,3.19,1.57,0.74,0.37,0.51
390,390,1.9,1.27,0.33,0.22,0.08
391,391,14.11,4.1,6.36,0.82,2.83
392,392,15.99,7.72,2.44,5.28,0.55
393,393,7.61,1.06,3.9,1.8,0.85
394,394,18.61,1.05,6.68,5.73,5.15
395,395,8.88,3.65,1.87,2.65,0.71
396,396,16.41,5.84,4.98,4.41,1.18
397,397,16.86,10.67,4.68,0.31,1.2
398,398,4.21,0.52,0.76,1.18,1.75
399,399,11.84,9.55,1.59,0.61,0.09
400,400,19.73,8.36,6.94,3.79,0.64
401,401,8.24,1.75,3.33,1.04,2.12
402,402,5.12,0.86,0.91,1.7,1.65
403,403,19.45,15.92,2.41,0.64,0.48
404,404,7.48,0.35,1.03,3.98,2.12
405,405,3.59,2.47,0.36,0.72,0.04
406,406,9.57,3.67,4.34,1.36,0.2
407,407,8.73,5.3,0.52,1.87,1.04
408,408,2.05,0.1,0.2,1.5,0.25
409,409,12.87,5.48,0.58,4.54,2.27
410,410,8.55,4.81,1.64,1.95,0.15
411,411,10.24,3.67,2.96,0.35,3.26
412,412,10.45,2.09,1.89,4.61,1.86
413,413,12.57,7.17,3.47,0.74,1.19
414,414,4.68,2.16,2.19,0.32,0.01
415,415,18.37,0.85,9.11,2.4,6.01
416,416,1.59,0.32,0.41,0.35,0.51
417,417,1.02,0.15,0.04,0.07,0.76
418,418,6.26,3.04,1.3,0.99,0.93
419,419,19.36,13.54,0.12,5.57,0.13
420,420,7.81,1.85,1.42,1.42,3.12
421,421,18.29,3.96,5.76,6.56,2.01
422,422,6.23,2.24,2.64,1.13,0.22
423,423,8.38,4.49,2.73,0.47,0.69
424,424,4.43,0.92,0.67,1.8,1.04
425,425,6.03,2.82,0.49,0.95,1.77
426,426,19.04,3.94,0.68,14.11,0.31
427,427,15.43,2.98,4.29,4.58,3.58
428,428,2.13,0.57,0.62,0.7,0.24
429,429,15.61,1.97,1.82,2.91,8.91
430,430,12.92,4.11,4.24,0.4,4.17
431,431,19.07,8.43,8.92,0.59,1.13
432,432,4.86,0.91,0.68,0.75,2.52
433,433,15.48,8.07,0.11,6.41,0.89
434,434,9.49,5.09,1.03,3.34,0.03
435,435,19.64,11.54,7.79,0.15,0.16
436,436,16.79,1.68,11.87,0.78,2.46
437,437,11.76,3.86,2.21,4.44,1.25
438,438,11.86,3.33,0.13,0.96,7.44
439,439,2.42,1.14,0.14,0.64,0.5
440,440,2.78,2.39,0.22,0.16,0.01
441,441,16.34,11.25,4.21,0.22,0.66
442,442,7.15,4.17,1.49,0.36,1.13
443,443,19.89,4.12,3.25,10.63,1.89
444,444,18.98,7.91,7.93,1.23,1.91
445,445,0.42,0.12,0.05,0.03,0.22
446,446,9.41,3.44,1.3,4.47,0.2
447,447,1.8,0.79,0.64,0.11,0.26
448,448,19.46,5.22,1.03,6.67,6.54
449,449,7.88,2.78,0.69,2.37,2.04
450,450,0.56,0.28,0.0,0.25,0.03
451,451,17.54,10.08,1.82,1.67,3.97
452,452,2.76,1.13,0.23,0.38,1.02
453,453,4.11,0.93,0.35,2.16,0.67
454,454,11.12,5.56,2.7,0.76,2.1
455,455,15.74,8.42,1.71,0.42,5.19
456,456,0.14,0.07,0.03,0.0,0.04
457,457,9.1,5.27,2.15,0.22,1.46
458,458,1.96,1.2,0.08,0.15,0.53
459,459,4.81,2.08,0.9,1.63,0.2
460,460,9.33,3.53,1.97,0.87,2.96
461,461,2.64,1.25,0.22,0.71,0.46
462,462,15.11,5.83,2.59,6.43,0.26
463,463,16.12,5.15,0.63,1.01,9.33
464,464,12.02,6.47,0.16,4.0,1.39
465,465,9.78,4.84,3.1,0.55,1.29
466,466,3.08,1.3,0.86,0.7,0.22
467,467,18.39,7.22,5.2,3.7,2.27
468,468,1.39,1.02,0.03,0.1,0.24
469,469,18.98,4.7,2.2,5.2,6.88
470,470,0.45,0.26,0.14,0.04,0.01
471,471,6.77,0.46,0.76,0.69,4.86
472,472,7.7,3.27,0.37,1.95,2.11
473,473,13.81,5.43,2.02,2.12,4.24
474,474,11.81,5.29,4.92,1.09,0.51
475,475,14.96,10.68,1.64,0.29,2.35
476,476,15.79,4.32,2.86,0.13,8.48
477,477,5.84,1.41,0.28,2.82,1.33
478,478,1.49,0.6,0.44,0.31,0.14
479,479,16.82,9.88,2.27,2.78,1.89
480,480,11.71,8.45,0.18,1.59,1.49
481,481,6.55,1.74,2.08,1.93,0.8
482,482,18.96,6.2,2.39,8.8,1.57
483,483,19.83,14.88,0.72,1.66,2.57
484,484,14.99,3.89,4.55,0.97,5.58
485,485,11.87,4.79,0.84,2.33,3.91
486,486,18.18,5.45,1.82,3.76,7.15
487,487,6.9,2.12,0.49,1.29,3.0
488,488,16.17,7.9,2.37,5.32,0.58
489,489,15.2,7.79,2.09,1.68,3.64
490,490,2.44,0.92,0.82,0.42,0.28
491,491,14.0,2.18,4.68,0.89,6.25
492,492,5.47,1.9,1.69,0.19,1.69
493,493,1.45,0.14,0.05,0.77,0.49
494,494,9.21,1.26,1.24,0.62,6.09
495,495,3.44,1.36,1.12,0.73,0.23
496,496,4.92,1.35,0.62,0.06,2.89
497,497,17.13,11.31,0.5,3.55,1.77
498,498,3.54,0.56,0.21,1.05,1.72
499,499,7.6,2.09,2.8,0.88,1.83
500,500,19.0,13.41,0.42,3.99,1.18
501,501,12.92,5.36,0.09,0.36,7.11
502,502,14.39,6.81,6.62,0.88,0.08
503,503,19.15,4.02,8.35,3.83,2.95
504,504,14.3,4.46,0.61,3.01,6.22
505,505,1.22,0.31,0.34,0.08,0.49
506,506,4.75,3.29,0.84,0.37,0.25
507,507,17.63,6.73,4.57,0.78,5.55
508,508,11.48,1.9,1.68,7.46,0.44
509,509,18.56,4.59,11.95,0.07,1.95
510,510,2.98,1.89,0.34,0.51,0.24
511,511,18.24,5.18,4.58,3.12,5.36
512,512,7.29,1.95,2.08,1.77,1.49
513,513,11.98,7.2,2.4,0.17,2.21
514,514,0.1,0.03,0.0,0.03,0.04
515,515,9.04,5.43,1.12,2.29,0.2
516,516,17.41,6.24,0.27,1.7,9.2
517,517,2.04,1.07,0.63,0.22,0.12
518,518,2.3,0.82,1.06,0.05,0.37
519,519,4.55,2.23,1.13,0.26,0.93
520,520,19.8,6.22,5.2,3.83,4.55
521,521,4.22,0.76,2.56,0.52,0.38
522,522,12.79,2.9,2.7,5.86,1.33
523,523,5.14,1.98,1.3,0.52,1.34
524,524,16.63,2.31,3.7,9.08,1.54
525,525,10.4,8.33,1.11,0.74,0.22
526,526,9.8,6.13,0.44,0.17,3.06
527,527,18.55,3.37,0.89,7.01,7.28
528,528,10.83,5.91,3.46,0.13,1.33
529,529,8.14,3.2,2.44,0.67,1.83
530,530,12.81,3.43,0.19,8.22,0.97
531,531,2.03,0.28,0.14,1.28,0.33
532,532,2.68,0.15,0.47,1.34,0.72
533,533,1.87,0.27,0.05,0.89,0.66
534,534,18.01,9.98,3.28,0.93,3.82
535,535,5.02,0.43,2.43,2.05,0.11
536,536,1.17,0.85,0.14,0.13,0.05
537,537,19.16,10.98,0.21,0.07,7.9
538,538,0.45,0.13,0.02,0.1,0.2
539,539,12.61,1.11,6.7,2.79,2.01
540,540,12.63,6.14,0.96,3.47,2.06
541,541,0.65,0.12,0.09,0.01,0.43
542,542,11.8,6.96,3.2,0.07,1.57
543,543,6.92,3.36,1.07,0.33,2.16
544,544,12.57,5.35,4.46,0.46,2.3
545,545,9.13,3.33,0.16,1.99,3.65
546,546,17.89,4.62,3.8,1.5,7.97
547,547,13.73,5.04,0.93,4.2,3.56
548,548,4.07,1.71,0.42,0.88,1.06
549,549,11.03,3.43,4.16,2.69,0.75
550,550,7.77,6.64,0.18,0.67,0.28
551,551,10.4,4.47,2.95,1.52,1.46
552,552,9.58,4.26,0.65,3.19,1.48
553,553,15.12,6.32,3.09,2.1,3.61
554,554,11.99,1.51,2.18,7.5,0.8
555,555,9.38,0.24,3.11,2.74,3.29
556,556,10.25,1.16,3.68,2.66,2.75
557,557,2.93,1.06,1.04,0.06,0.77
558,558,14.52,7.37,1.99,0.16,5.0
559,559,10.49,4.48,3.65,0.45,1.91
560,560,7.96,3.38,4.14,0.13,0.31
561,561,6.18,1.43,1.4,0.99,2.36
562,562,19.75,0.67,9.55,0.55,8.98
563,563,14.11,11.2,1.02,1.32,0.57
564,564,3.21,1.61,0.31,0.85,0.44
565,565,8.56,2.12,1.36,2.3,2.78
566,566,10.78,7.82,1.46,1.1,0.4
567,567,17.12,3.17,8.6,4.06,1.29
568,568,10.12,6.74,1.02,1.94,0.42
569,569,14.45,3.68,7.63,2.31,0.83
570,570,12.29,6.54,0.42,1.57,3.76
571,571,4.17,2.27,1.3,0.27,0.33
572,572,19.2,8.95,2.86,5.02,2.37
573,573,0.53,0.38,0.01,0.07,0.07
574,574,12.72,2.88,2.32,6.45,1.07
575,575,0.14,0.1,0.01,0.01,0.02
576,576,10.08,1.16,0.73,2.02,6.17
577,577,16.89,11.22,4.72,0.11,0.84
578,578,10.56,3.92,1.76,0.86,4.02
579,579,17.05,0.54,4.93,8.21,3.37
580,580,0.21,0.09,0.11,0.0,0.01
